Sample_ID	eggs_s1	eggs_s2	larves_s1	larves_s2	females_s1	females_s2	females_s3	females_s4	females_s5	males_s1	males_s2	males_s3	males_s4	males_s5
12535	14.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12538	101.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
12540	56.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12541	682.0	987.0	58.0	1.0	115.0	106.0	0.0	50.0	0.0	0.0	9.0	0.0	1.0	1.0
12543	5454.0	6178.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0
12554	207.0	150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12568	61.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12580	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12586	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
12604	685.0	1027.0	9.0	196.0	1177.0	1.0	4.0	160.0	8.0	4.0	4.0	2.0	17.0	6.0
12626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
12627	0.0	0.0	1.0	1.0	0.0	0.0	0.0	22.0	0.0	1.0	7.0	0.0	1.0	0.0
12635	0.0	0.0	0.0	0.0	0.0	295.0	6948.0	0.0	0.0	7.0	0.0	678.0	0.0	557.0
12642	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12657	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	471.0	0.0	0.0	0.0	0.0	60.0
12659	0.0	0.0	0.0	0.0	0.0	35.0	110.0	0.0	229.0	7.0	0.0	27.0	193.0	152.0
12662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
12671	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12680	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12685	0.0	0.0	1.0	0.0	0.0	345.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
